RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           13     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   31   34     0     0  con    1  4.2D-01  5.0D-02  2.118D+00  4.666D+03
   32   35     0     0  con    0  1.0D+00  6.2D-02  7.432D-01  4.666D+03
   33   36     0     0  con    0  1.0D+00  3.9D-02  9.951D-01  4.666D+03
   34   38     0     0  con    1  5.0D-01  1.9D-03  3.727D-01  4.666D+03
   35   39     0     0  con    0  1.0D+00  8.8D-03  3.352D-01  4.666D+03
   36   40     0     0  con    0  1.0D+00  4.0D-03  3.184D-01  4.666D+03
   37   41     0     0  con    0  1.0D+00  1.1D-02  8.302D-01  4.666D+03
   38   42     0     0  con    0  1.0D+00  1.5D-02  5.107D-01  4.666D+03
   39   43     0     0  con    0  1.0D+00  4.3D-02  5.478D-01  4.666D+03
   40   44     0     0  con    0  1.0D+00  5.1D-02  5.877D-01  4.666D+03
   41   45     0     0  con    0  1.0D+00  4.1D-02  5.783D-01  4.666D+03
   42   46     0     0  con    0  1.0D+00  6.2D-03  1.744D-01  4.666D+03
   43   47     0     0  con    0  1.0D+00  1.2D-03  1.230D-01  4.666D+03
   44   48     0     0  con    0  1.0D+00  1.8D-03  1.622D-01  4.666D+03
   45   49     0     0  con    0  1.0D+00  4.2D-03  2.209D-01  4.666D+03
   46   50     0     0  con    0  1.0D+00  1.2D-02  5.748D-01  4.666D+03
   47   51     0     0  con    0  1.0D+00  1.2D-02  4.473D-01  4.666D+03
   48   52     0     0  con    0  1.0D+00  3.3D-02  1.249D+00  4.666D+03
   49   53     0     0  con    0  1.0D+00  2.5D-03  4.476D-01  4.666D+03
   50   54     0     0  con    0  1.0D+00  1.7D-03  4.164D-01  4.666D+03
   51   55     0     0  con    0  1.0D+00  2.6D-02  4.634D-01  4.666D+03
   52   56     0     0  con    0  1.0D+00  3.3D-02  7.331D-01  4.666D+03
   53   57     0     0  con    0  1.0D+00  7.2D-02  6.216D-01  4.666D+03
   54   58     0     0  con    0  1.0D+00  9.2D-02  1.173D+00  4.666D+03
   55   59     0     0  con    0  1.0D+00  2.8D-02  7.721D-01  4.666D+03
   56   60     0     0  con    0  1.0D+00  4.1D-03  6.717D-01  4.666D+03
   57   61     0     0  con    0  1.0D+00  1.4D-02  5.772D-01  4.666D+03
   58   62     0     0  con    0  1.0D+00  2.0D-02  4.361D-01  4.666D+03
   59   64     0     0  con    1  4.9D-01  3.0D-02  9.340D-01  4.666D+03
   60   65     0     0  con    0  1.0D+00  4.5D-02  2.841D-01  4.666D+03
   61   66     0     0  con    0  1.0D+00  8.8D-03  2.301D-01  4.666D+03
   62   67     0     0  con    0  1.0D+00  2.5D-02  7.338D-01  4.666D+03
   63   68     0     0  con    0  1.0D+00  2.1D-02  3.502D-01  4.666D+03
   64   69     0     0  con    0  1.0D+00  1.3D-02  2.527D-01  4.666D+03
   65   70     0     0  con    0  1.0D+00  2.7D-02  1.400D-01  4.666D+03
   66   71     0     0  con    0  1.0D+00  1.4D-02  2.032D-01  4.666D+03
   67   72     0     0  con    0  1.0D+00  8.2D-03  1.255D-01  4.666D+03
   68   73     0     0  con    0  1.0D+00  2.1D-02  5.332D-01  4.666D+03
   69   74     0     0  con    0  1.0D+00  3.7D-03  6.767D-02  4.666D+03
   70   75     0     0  con    0  1.0D+00  2.3D-03  7.440D-02  4.666D+03
   71   76     0     0  con    0  1.0D+00  4.6D-03  4.839D-02  4.666D+03
   72   78     0     0  con    1  2.2D-01  2.1D-03  4.820D-02  4.666D+03
   73   79     0     0  con    0  1.0D+00  6.8D-04  1.637D-02  4.666D+03
   74   80     0     0  con    0  1.0D+00  2.6D-04  7.367D-03  4.666D+03
   75   81     0     0  con    0  1.0D+00  1.5D-03  2.437D-02  4.666D+03
   76   82     0     0  con    0  1.0D+00  5.8D-04  2.428D-02  4.666D+03
   77   83     0     0  con    0  1.0D+00  1.5D-04  7.185D-03  4.666D+03
   78   84     0     0  con    0  1.0D+00  7.1D-05  3.638D-03  4.666D+03
   79   86     0     0  con    1  1.8D-01  3.4D-04  5.821D-03  4.666D+03
   80   87     0     0  con    0  1.0D+00  5.0D-05  3.001D-03  4.666D+03
   81   88     0     0  con    0  1.0D+00  5.0D-05  1.637D-03  4.666D+03
   82   89     0     0  con    0  1.0D+00  1.1D-05  1.000D-03  4.666D+03
   83   91     0     0  con    1  9.4D-02  2.1D-05  5.457D-04  4.666D+03
   84   92     0     0  con    0  1.0D+00  1.9D-05  4.547D-04  4.666D+03
   85   94     0     0  con    1  5.0D-01  2.0D-05  7.276D-04  4.666D+03
   86   95     0     0  con    0  1.0D+00  2.0D-05  1.091D-03  4.666D+03
   87   97     0     0  con    1  3.1D-01  3.6D-06  7.276D-04  4.666D+03
   88   99     0     0  con    1  3.2D-01  8.0D-06  1.637D-03  4.666D+03
   89  100     0     0  con    0  1.0D+00  6.5D-06  1.000D-03  4.666D+03
   90  102     0     0  con    1  1.0D-01  2.5D-05  1.637D-03  4.666D+03
   91  103     0     0  con    0  1.0D+00  5.3D-05  2.001D-03  4.666D+03
   92  105     0     0  con    1  2.3D-01  6.2D-06  2.456D-03  4.666D+03
   93  107     0     0  con    1  2.9D-01  1.1D-05  1.273D-03  4.666D+03
   94  109     0     0  con    1  4.5D-01  2.2D-06  1.000D-03  4.666D+03
   95  112     0     0  con    2  6.0D-02  1.3D-06  8.185D-04  4.666D+03

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 8.708E+01 seconds.

